ADC value
1009
1009
1001
1001
1002
1009
1004
1001
1002
1009
1004
1001
1002
1008
1005
1001
1002
1009
1005
1001
1002
1008
1005
1001
1001
1008
1006
1000
1001
1008
1005
1000
1001
1008
1005
0999
1000
1008
1006
1000
1000
1008
1005
0999
1000
1008
1006
1000
1001
1008
1007
1001
1001
1006
1007
1001
1001
1004
1008
1001
1002
1001
1008
1001
1002
1006
1008
1002
1002
1006
1008
1002
1003
1008
1008
1001
1003
1008
1009
1002
1003
1009
1009
1001
1003
1009
1009
1002
1003
1009
1009
1002
1003
1010
1008
1002
1002
1010
1009
1002
1002
1009
1009
1003
1002
1010
1009
1002
1002
1009
1009
1002
1002
1009
1009
1001
1000
1010
1009
1001
0995
1010
1008
1002
0993
1010
1008
1001
0996
1009
1008
1001
0998
1009
1008
1001
0999
1009
1008
1000
0999
